Empresa,Correo,Ciudad,Estado,Fuente
"ACEROS ROCO, S.A. DE C.V.",ventas@aceroroco.com,Puebla,Puebla,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS RUSA,acerosrusa@prodigy.net.mx,Oaxaca,Oaxaca,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS SEMI,,Tampico,Tamaulipas,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md
"ACEROS SOLIS, S.A. DE C.V.",jgmsolis@att.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS SUAREZ Y SUCESORES, S.A. DE C.V.",,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md
ACEROS TALISMAN,aceros_talisman@terra.com.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS TRANSFORMADOS PARA CONCRE TO, S.A. DE C.V.",acerostranaformados@yahoo.com.mx,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS TREVIÑO, S.A. DE C.V.",acerostrevino@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS UNIVERSAL, S.A. DE C.V.",aceros.universal@gmail.com,Durango,Durango,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS VEGSA,acevega@prodigy.net.mx,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS VILLARREAL, S.A. DE C.V.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y CERCADOS,acerosycercados@prodigy.net.mx,Celaya,Guanajuato,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 347739352-DIRECTORIO-2015-1_extraccion_forense.md; 347739352-DIRECTORIO-2015_extraccion_forense.md
ACEROS Y FLECHAS DEL NORTE S.A DE CV,,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS Y LAMINADOS MEGA,acerosmega@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y LAMINAS,rosamahd@hotmail.com,Durango,Durango,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y LAMINAS DE SALTILLO,,Saltillo,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS Y MAQUILAS ABASTOS,,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS Y MAQUILAS DE GUADALUPE, S.A.",paco_amg@hotmail.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y MAQUILAS DEL CENTRO, S.A.",aymcsa@hotmail.com,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y MAQUILAS LEON,acleon_1@hotmail.com,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y MAQUILAS, S.A. DE C.V.",electromecanicayequipos@prodigy.net.mx,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y MAQUINARIA MB & H, S.A. DE C.V.",manolohoyos@infosel.net.mx,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y MATERIALES DE CAPULTITLAN,,Toluca,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS Y METALES BUENO, S.A. DE C.V.",industriasbueno@infosel.net.mx,Tampico,Tamaulipas,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y METALES LA SILLA,larzon1@hotmail.com.mx,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y METALES MASK, S.A. DE C.V.",acerosmark@hayhoo.com.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y METALES MONTERREY,acerosymetalesmty@hotmail.com,Acapulco,Guerrero,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y METALES VILLARREAL, S.A.DE C.V. (DIV. GRUAS)",,Cosoleacaque,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS Y PERCILES JOTITA S.R.L DE C.V,castillo05acero@hotmail.com,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y PERFILES,,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y PERFILES ELIZONDO, S.A. DE C.V.",,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACEROS Y PERFILES ESTRUCTURALES, S.A.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y PERFILES FRANZONI, S.A. DE C.V.",,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y PERFILES GUTIERREZ, S.A. DE C.V.",meyliz@hotmail.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y PERFILES LAMINADOS, S.A. DE C.V.",aplazaacero@terra.com.mx,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS Y PERFILES PACO,,Uruapan,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y PERFILES SAN JOAQUIN,,Venustiano Carranza,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y REFACCIONES INDUSTRIALES, S.A. DE C.V.",acerostorres@hotmail.com.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y SERVICIOS DE MONTERREY, S.A.",asmsa@nl1.telmex.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACEROS Y SIMILARES, S.A. DE C.V.",aceros@sureste.com,Merida,Yucatán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS Y TROQUELADOS DEL NTE.,acerosytroqueladosdelnorte@yahoo.com,Escobedo,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y TUBOS REGIOS, S.A. DE C.V.",ernesto_hernandez@acerosytubos.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS Y TUBOS VILLALI, S.A. DE C.V.",ventas@acerovellali.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEVEDO CANUL ENRIQUE BACILIO ING.,constructorace@hotmail.com,Campeche,Campeche,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEVES ENRIQUEZ ARMANDO ARQ.,,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACHAR TUSSIE MOISES,pintagus@yahoo.com.mx,Coyoacan,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACIGAS,soladi@prodigy.net.mx,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACINOX,acinoxjz@hotmail.com,Cd. Juarez,Chihuahua,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACON, S.A. DE C.V.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACONDAIRE,acondaire@prodigy.net.mx,Miguel Hidalgo,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACONDICIONADORA DE CLIMAS,aclisa@aclisa.net,Atizapan De Zaragoza,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACONSA PUERTAS Y VITRALES,laredgar@hotmail.com,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACOSTA GOMEZ MARCOS,compras@arqmoderna.com,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACR ELECTRICA, S.A. DE C.V.",acr_electrica@hotmail.com,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRI MUNDO,,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACRI-DOMOS,acri_domos@hotmail.com,Morelia,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRIL TECNO,tecnoacril@prodigy.net.mx,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILAMINAS ARAGON, S.A. DE C.V.",polipanel@prodigy.net.mx,Ecatepec,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILDOM,contacto@acridomo.com,Iztacalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILFRASA,acrilfrasa@hotmial.com,Tlalnepantla,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILICOS & IDEAS, S.A. DE C.V.",contacto@acrideas.com,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILICOS ACRYMET,acrilicos_met@yahoo.com.mx,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILICOS ARTISTICOS,,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILICOS DE MEXICO, S.A. DE C.V.",acriolicosdemexico2002@yahoo.com.mx,Naucalpan De Juarez,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILICOS DEL SUR, S.A. DE C.V.",acrilicosdelsur@yahoo.com.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILICOS LAMINADOS ESPECIALES,,Morelia,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILICOS OCRE, S.A DE C.V.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRILICOS PROFESIONALES DE MONTE RREY, S.A. DE C.V.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILICOS TERMOFORMADOS,acriventas@prodiyi.net.mx; acrilclau@terra.com.mx,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRILIN.&.A,acrilinya@axtel.net,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRIMUNDO,,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACRIPLAS, S.A. DE C.V.",eufrasi_acriplas@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACRITODO,acritod@hotmail.com,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACRYL,,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACUAPRES ALMONT, S.A. DE C.V.",mocampo@rotoplas.com.mx,Veracruz,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACUARIO ATLANTIDA,vicsamyey@hotmail.com,Aguascalientes,Aguascalientes,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACUARIO MERCANTIL,leon@acuariomercantil.com,Mexicalli,B.C.N.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACUASOLUTIONS, S.A. DE C.V.",info@acuasolutions.com,Web: Www.Acuasolutions.Com E-Mail: Info@Acuasolutions.Com Miguel Hidalgo,D.F,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADA DECORACIONES,adadecoracion@hotmail.com,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADAC INGENIEROS ARQUITECTOS,adac@arquired.com.mx,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADAPTING, SA DE CV",fabian.garcia@adapting.com.mx,Magdalena Contreras,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADATECH, S.A. DE C.V.",,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ADHER INPERCON SA DE CV,,Celaya,Guanajuato,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADHESIVOS AVANZADOS, S. DE R.L. DE C.V.",info@adhesivosavanzados.com,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADHESIVOS Y PRODUCTOS QUIMICOS E,adproq@prodigy.net.mx,Tlalnepantla,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADHESIVOS Y RECUBRIMIENTOS JIMARA,,Morelia,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADI ARQUITECTURA Y DISEÑO INTERIOR,,Aguascalientes,Aguascalientes,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADIMAC,,Morelia,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ADIPPSA,ventas@adippsa.com,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADIPREX, S.A. DE C.V.",claudia.horst@diprec.com.mx,Tlahuac,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADMINISTRACION DE RECURSOS PARA CONSTRUCCION, S.A. DE C.V.",maira@ancianoarq.com.mx,Naucalpan De Juarez,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADMINISTRACION MANTENIMIENTO Y CONS TRUCCION, S.A. DE C.V.",amco@att.net.mx,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ADMINISTRACION SERVI-LIMPIO,,Veracruz,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ADMINISTRACION Y SERVICIOS TECNICOS A,gpoacertec@starmedia.com,Iztacalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ADMINISTRADORA TONATICO, S.A. DE C.V.",administracion@gdicasa.com,Naucalpan De Juarez,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ADMIX TECH,k.arriaga@hotmail.com,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADOCRETOS DE PUEBLA, S.A. DE C.V.",,Amozoc,Puebla,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ADOCRETOS, BLOQUES Y BOVEDILLAS, S.A.",adocretos@prodigy.net.mx,Tultitlan,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADOLFO PONZANELLI, S.A.",marmoles@apunsaneli.com,Naucalpan De Juarez,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md
"ADOMAQ, S.A. DE .C.V.",adomac56@prodigy.net.mx,Miguel Hidalgo,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ADOQUIN Y PREFABRICADOS DE CONCRETO, S.A. DE C.V.",ariel@apcadoq.com.mx,Tlahuac,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
